code,state,state.bg
AL,Alabama,Алабама
AZ,Arizona,Аризона
AR,Arkansas,Арканзас
CA,California,Калифорния
CO,Colorado,Колорадо
CT,Connecticut,Кънектикът
DC,District of Columbia,Окръг Колумбия
DE,Delaware,Делауеър
FL,Florida,Флорида
GA,Georgia,Джорджия
ID,Idaho,Айдахо
IL,Illinois,Илинойс
IN,Indiana,Индиана
IA,Iowa,Айова
KS,Kansas,Канзас
KY,Kentucky,Кентъки
LA,Louisiana,Луизиана
ME,Maine,Мейн
MD,Maryland,Мериленд
MA,Massachusetts,Масачузетс
MI,Michigan,Мичиган
MN,Minnesota,Минесота
MS,Mississippi,Мисисипи
MO,Missouri,Мисури
MT,Montana,Монтана
NE,Nebraska,Небраска
NV,Nevada,Невада
NH,New Hampshire,Ню Хемпшир
NJ,New Jersey,Ню Джърси
NM,New Mexico,Ню Мексико
NY,New York,Ню Йорк
NC,North Carolina,Северна Каролина
ND,North Dakota,Северна Дакота
OH,Ohio,Охайо
OK,Oklahoma,Оклахома
OR,Oregon,Орегон
PA,Pennsylvania,Пенсилвания
RI,Rhode Island,Род Айлънд
SC,South Carolina,Южна Каролина
SD,South Dakota,Южна Дакота
TN,Tennessee,Тенеси
TX,Texas,Тексас
UT,Utah,Юта
VT,Vermont,Върмонт
VA,Virginia,Вирджиния
WA,Washington,Вашингтон
WV,West Virginia,Западна Вирджиния
WI,Wisconsin,Уисконсин
WY,Wyoming,Уайоминг
